#Revised by the galaxies at z>0.1 from Maddox et al. (2009) (their Table 3).
#Revised by Table 7 in 2001MNRAS.326.1076D.
#Some galaxies with no radial velocities have been removed because they are not visible in the Legacy images or it was not clear which was the object.
#Some compact objects like UCDs have been removed from this list as we intend to include only extended galaxies here.
#LSBs with FCC* designation seems to be the most extended and bright LSBs.
#LSBs with NGFS* designation are usually difficult to see in the Legacy images. Therefore, they are not expected to be detectable in S-PLUS images.
#For some FCC galaxies, NED provides radial velocities from 2016MNRAS.460.4492D. However, this is a photometric paper. They assume that some galaxies are Fornax members because of their morphology or because they were considered as certain or likely members in the FCC catalog and they assign a radial velocity calculated assuming the Fornax distance. These "radial velocities" can be checked at http://www.astro-udec.cl/mf/catalogue/Table2%28locations%29.txt. The value of '104' in the last column of that table means that is an assumed (and not an spectroscopic) radial velocity.
#Some galaxies appear in NED with Vr from 2008MNRAS.389..102T. However, this paper takes membership from other papers and I've not found those Vr in other published works.
#Galaxies with ID_b are new dwarfs with radial velocities from 2007A&A...464L..21B (Table 3).
#dE? are galaxies that might be LSB galaxies.
#dE,N? are galaxies which might have a nucleus.
#LSB? might be background galaxies (too compact or displaying some kind of structure).
# Objects with ID_x are literature Fornax galaxies that are placed in the new iDR4 Fornax fields.
# Objects with ID_z are galaxies from 1990MNRAS.245..289I. Objects with designation LSBG, no VR and S morphology were considered background. 
# Objects with ID_w are galaxies from 1988MNRAS.232..239D. "
# Objects with ID_y are galaxies from 1999MNRAS.304..297M. "
# Objects with ID_j are galaxies from 1965AJ.....70..559H. Objects with no VR and S morphology were considered background.
# Objects with ID_k and ID_kb,c,etc are galaxies from 2017ApJ...843...16K. 
# Extinctions are given for g,r,i,z of SDSS.
# Additional objects from Venhola et al. (2022). Columns RA_2, DEC_2, ID_FDS2022 are from Venhola et al. (2022).
# Corrected positons for LEDA_630952 and LEDA_659358. In their previous position new objects ids were added, FDS21_DWARF006 and FDS19_DWARF184, respectively.
#
# ID    RA         DEC         RA                   DEC                   RA_2      DEC_2      NAME                       ID_FDS2022   Morph_Legacy_Analia   Vr_NED/Maddox   e_Vr        Vr_Ref                Ag      Ar      Ai      Az     
  1ya   02:51:47   -30:06:30   42.949875            -30.1081              0.0       0.0        LSBG_F416-012              -            LSB_blue_center       1079.253        63.855803   20032dF...C...0000C   0.055   0.038   0.028   0.021  
  1k    02:55:12   -36:18:00   43.802015            -36.300167            0.0       0.0        ESO_356-18                 -            Irr?                  1438.104623     9.893153    1996ApJS..107...97M   0.072   0.05    0.037   0.028  
  1kb   02:55:39   -36:20:07   43.913877            -36.335182            0.0       0.0        LEDA_142353                -            Edge-on_disk          1680.03717      50.065348   1996ApJS..107..201L   0.07    0.049   0.036   0.027  
  1     03:10:25   -33:09:41   47.6014583           -33.1561667           0.0       0.0        ESO_357-7                  -            Irr                   1121.22395      3.297718    1996ApJ...463...60B   0.053   0.036   0.027   0.02   
  1kc   03:11:22   -31:20:06   47.841696            -31.33488             0.0       0.0        LEDA_706380                -            Irr                   1564.91685      0.0         2017ApJ...843...16K   0.05    0.035   0.026   0.019  
  2     03:11:27   -33:25:02   47.868               -33.4148              0.0       0.0        FCC_1                      -            LSB                   0.0             0.0         -                     0.059   0.041   0.03    0.022  
  1kd   03:11:29   -31:22:56   47.872417            -31.382222            0.0       0.0        LEDA_705828                -            Irr                   1559.220793     6.895227    2006HIPAS.C...0000    0.053   0.036   0.027   0.02   
  1y    03:15:44   -32:09:43   48.93406670307191    -32.16227030253558    0.0       0.0        LSBG_F357-008              -            Irr                   0.0             0.0         -                     0.053   0.037   0.027   0.02   
  2y    03:15:47   -38:31:30   48.94350740394856    -38.52494586889521    0.0       0.0        LSBG_F300-001              -            dE                    1582.005022     54.862028   1996ApJS..107..201L   0.072   0.05    0.037   0.028  
  1ke   03:16:15   -31:12:34   49.063583            -31.209472            0.0       0.0        LEDA_707865                -            Irr                   1113.729137     63.855803   20012dF...C...0000C   0.071   0.049   0.036   0.027  
  1x    03:16:35   -37:53:02   49.145833333333336   -37.88388888888889    0.0       0.0        [VPL2018]_FDS28_DWARF003   -            dIrr                  0.0             0.0         -                     0.075   0.052   0.039   0.029  
